drug_name,medical_condition,side_effects,rating,no_of_reviews,drug_classes
all day pain relief,osteoarthritis,unknown,unknown,unknown,nonsteroidal anti-inflammatory drugs
all day relief,osteoarthritis,unknown,unknown,unknown,nonsteroidal anti-inflammatory drugs
anaprox,osteoarthritis,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: more common belching bruising chest tightness difficult or labored breathing feeling of indigestion headache itching skin large, flat, blue, or purplish patches in the skin pain in the chest below the breastbone skin eruptions stomach pain swelling less common bloating bloody or black, tarry stools blurred or loss of vision burning upper stomach pain cloudy urine constipation decrease in urine output or decrease in urine-concentrating ability disturbed color perception double vision fast, irregular, pounding, or racing heartbeat or pulse halos around lights indigestion loss of appetite nausea or vomiting night blindness overbright appearance of lights pale skin pinpoint red or purple spots on the skin severe and continuing nausea severe stomach burning, cramping, or pain skin rash swelling or inflammation of the mouth trouble breathing tunnel vision unusual bleeding or bruising unusual tiredness or weakness vomiting of material that looks like coffee grounds weight loss rare anxiety back or leg pains bleeding gums blindness blistering, peeling, or loosening of the skin blood in the urine or stools blue lips and fingernails canker sores change in the ability to see colors, especially blue or yellow chest pain or discomfort clay-colored stools cold sweats coma confusion cool, pale skin cough or hoarseness coughing that sometimes produces a pink frothy sputum cracks in the skin darkened urine decreased vision depression diarrhea difficult, burning, or painful urination difficult, fast, or noisy breathing difficulty with swallowing dilated neck veins dizziness dry cough dry mouth early appearance of redness, or swelling of the skin excess air or gas in the stomach eye pain fainting fever with or without chills fluid-filled skin blisters flushed, dry skin frequent urination fruit-like breath odor greatly decreased frequency of urination or amount of urine hair loss high fever hives increased hunger increased sensitivity of the skin to sunlight increased sweating increased thirst increased urination increased volume of pale, dilute urine irregular breathing joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs late appearance of rash with or without weeping blisters that become crusted, especially in sun-exposed areas of skin, may extend to unexposed areas light-colored stools lightheadedness loss of heat from the body lower back or side pain nervousness nightmares no blood pressure no breathing no pulse nosebleeds numbness or tingling in the hands, feet, or lips pain in the ankles or knees pain or burning in the throat pain or discomfort in the arms, jaw, back, or neck painful, red lumps under the skin, mostly on the legs pains in the stomach, side, or abdomen, possibly radiating to the back pale or blue lips, fingernails, or skin pounding in the ears puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue rapid, shallow breathing red, irritated eyes red skin lesions, often with a purple center red-green color blindness redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin seizures severe sunburn shakiness skin thinness slurred speech sneezing sore throat sores, ulcers, or white spots on the lips or tongue or inside the mouth sores, welting, or blisters spots on your skin resembling a blister or pimple stiff neck or back stomach cramps or tenderness stomach upset swelling in the legs and ankles swelling of the face, fingers, feet, or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tiny bumps on the inner lining of the eyelid unexplained weight loss unpleasant breath odor watery or bloody diarrhea weakness or heaviness of the legs weight gain yellow eyes or skin symptoms of overdose bleeding under the skin confusion about identity, place, and time muscle tremors restlessness sleepiness some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: more common continuing ringing or buzzing or other unexplained noise in the ears hearing loss less common acid or sour stomach change in hearing feeling of constant movement of self or surroundings passing gas sensation of spinning stomach soreness or discomfort rare appetite changes burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings burning, dry, or itching eyes difficulty with moving discharge, excessive tearing general feeling of discomfort or illness lack or loss of strength menstrual changes muscle aching, cramping, stiffness, or weakness not able to concentrate redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid seeing, hearing, or feeling things that are not there shakiness in the legs, arms, hands, or feet swollen joints trembling or shaking of the hands or feet trouble getting pregnant trouble performing routine tasks trouble sleeping unusual drowsiness, dullness, or feeling of sluggishness other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. anaprox side effects",2.0,1.0,nonsteroidal anti-inflammatory drugs
anaprox-ds,osteoarthritis,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: more common belching bruising chest tightness difficult or labored breathing feeling of indigestion headache itching skin large, flat, blue, or purplish patches in the skin pain in the chest below the breastbone skin eruptions stomach pain swelling less common bloating bloody or black, tarry stools blurred or loss of vision burning upper stomach pain cloudy urine constipation decrease in urine output or decrease in urine-concentrating ability disturbed color perception double vision fast, irregular, pounding, or racing heartbeat or pulse halos around lights indigestion loss of appetite nausea or vomiting night blindness overbright appearance of lights pale skin pinpoint red or purple spots on the skin severe and continuing nausea severe stomach burning, cramping, or pain skin rash swelling or inflammation of the mouth trouble breathing tunnel vision unusual bleeding or bruising unusual tiredness or weakness vomiting of material that looks like coffee grounds weight loss rare anxiety back or leg pains bleeding gums blindness blistering, peeling, or loosening of the skin blood in the urine or stools blue lips and fingernails canker sores change in the ability to see colors, especially blue or yellow chest pain or discomfort clay-colored stools cold sweats coma confusion cool, pale skin cough or hoarseness coughing that sometimes produces a pink frothy sputum cracks in the skin darkened urine decreased vision depression diarrhea difficult, burning, or painful urination difficult, fast, or noisy breathing difficulty with swallowing dilated neck veins dizziness dry cough dry mouth early appearance of redness, or swelling of the skin excess air or gas in the stomach eye pain fainting fever with or without chills fluid-filled skin blisters flushed, dry skin frequent urination fruit-like breath odor greatly decreased frequency of urination or amount of urine hair loss high fever hives increased hunger increased sensitivity of the skin to sunlight increased sweating increased thirst increased urination increased volume of pale, dilute urine irregular breathing joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs late appearance of rash with or without weeping blisters that become crusted, especially in sun-exposed areas of skin, may extend to unexposed areas light-colored stools lightheadedness loss of heat from the body lower back or side pain nervousness nightmares no blood pressure no breathing no pulse nosebleeds numbness or tingling in the hands, feet, or lips pain in the ankles or knees pain or burning in the throat pain or discomfort in the arms, jaw, back, or neck painful, red lumps under the skin, mostly on the legs pains in the stomach, side, or abdomen, possibly radiating to the back pale or blue lips, fingernails, or skin pounding in the ears puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue rapid, shallow breathing red, irritated eyes red skin lesions, often with a purple center red-green color blindness redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin seizures severe sunburn shakiness skin thinness slurred speech sneezing sore throat sores, ulcers, or white spots on the lips or tongue or inside the mouth sores, welting, or blisters spots on your skin resembling a blister or pimple stiff neck or back stomach cramps or tenderness stomach upset swelling in the legs and ankles swelling of the face, fingers, feet, or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tiny bumps on the inner lining of the eyelid unexplained weight loss unpleasant breath odor watery or bloody diarrhea weakness or heaviness of the legs weight gain yellow eyes or skin symptoms of overdose bleeding under the skin confusion about identity, place, and time muscle tremors restlessness sleepiness some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: more common continuing ringing or buzzing or other unexplained noise in the ears hearing loss less common acid or sour stomach change in hearing feeling of constant movement of self or surroundings passing gas sensation of spinning stomach soreness or discomfort rare appetite changes burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings burning, dry, or itching eyes difficulty with moving discharge, excessive tearing general feeling of discomfort or illness lack or loss of strength menstrual changes muscle aching, cramping, stiffness, or weakness not able to concentrate redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid seeing, hearing, or feeling things that are not there shakiness in the legs, arms, hands, or feet swollen joints trembling or shaking of the hands or feet trouble getting pregnant trouble performing routine tasks trouble sleeping unusual drowsiness, dullness, or feeling of sluggishness other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. anaprox-ds side effects",unknown,unknown,nonsteroidal anti-inflammatory drugs
cosamin ds,osteoarthritis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. stop using cosamin ds and call your healthcare provider at once if you have: irregular heartbeats; or swelling in your legs. common side effects of cosamin ds may include: nausea , diarrhea , constipation ; stomach pain, gas, bloating ; hair loss ; or puffy eyelids.",5.0,2.0,nutraceutical products
diclozor,osteoarthritis,"warning/caution: even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. signs of bleeding like throwing up or coughing up blood ; vomit that looks like coffee grounds; blood in the urine; black, red, or tarry stools; bleeding from the gums; abnormal vaginal bleeding ; bruises without a cause or that get bigger; or bleeding you cannot stop. signs of high blood pressure like very bad headache or dizziness , passing out, or change in eyesight. signs of kidney problems like unable to pass urine, change in how much urine is passed, blood in the urine, or a big weight gain. signs of high potassium levels like a heartbeat that does not feel normal; feeling confused; feeling weak, lightheaded, or dizzy; feeling like passing out; numbness or tingling; or shortness of breath. chest pain or pressure or a fast heartbeat . shortness of breath, a big weight gain, or swelling in the arms or legs. weakness on 1 side of the body, trouble speaking or thinking, change in balance, drooping on one side of the face, or blurred eyesight. feeling very tired or weak. flu-like signs. very bad back pain . very bad belly pain. a very bad skin reaction ( stevens-johnson syndrome / toxic epidermal necrolysis ) may happen. it can cause very bad health problems that may not go away, and sometimes death. get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. liver problems have happened with drugs like this one. sometimes, this has been deadly. call your doctor right away if you have signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. diclozor side effects",unknown,unknown,topical non-steroidal anti-inflammatories
diflunisal,osteoarthritis,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, swelling in your legs, feeling short of breath. diflunisal may cause serious side effects. stop using diflunisal and call your doctor at once if you have: changes in your vision; any skin rash, no matter how mild; shortness of breath (even with mild exertion); swelling or rapid weight gain; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems-- nausea , upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems--little or no urination, swelling in your feet or ankles, feeling tired; or low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed, cold hands and feet. common side effects of diflunisal may include: nausea, vomiting, stomach pain, indigestion ; diarrhea, constipation , gas; dizziness , drowsiness, headache , tired feeling; rash; or ringing in your ears.",9.7,3.0,"nonsteroidal anti-inflammatory drugs, salicylates"
dolobid,osteoarthritis,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: more common stomach cramps or pain less common back or leg pains bleeding gums blistering, peeling, loosening of skin bloody or black, tarry stools bloody or cloudy urine blurred or loss of vision burning feeling in chest or stomach burning while urinating clay-colored stools constipation cough or hoarseness cracks in the skin dark-colored urine diarrhea difficult or painful urination difficulty breathing difficulty swallowing disturbed color perception dizziness double vision facial swelling fast heartbeat feeling of warmth fever with or without chills flu-like symptoms general body swelling greatly decreased frequency of urination or amount of urine halos around lights headache hives, itching, skin rash increased blood pressure increased thirst indigestion joint or muscle pain large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, sex organs light-colored stools loss of appetite loss of heat from the body lower back or side pain muscle aches, pains, or weakness nausea or vomiting night blindness noisy breathing nosebleeds overbright appearance of lights pale skin pinpoint red spots on skin puffiness or swelling of the eyelids or around the eyes, face, lips or tongue red, irritated eyes redness of the face, neck, arms and occasionally, upper chest red skin lesions, often with a purple center red, swollen skin scaly skin severe or continuing stomach pain sores, ulcers, or white spots in mouth or on lips sore throat stomach upset, tenderness swelling of the face, fingers, feet or lower legs swollen lymph nodes tightness in chest trouble breathing tunnel vision unpleasant breath odor unusual bleeding or bruising unusual tiredness or weakness upper right stomach pain vomiting of blood or material that looks like coffee grounds weight gain yellow eyes or skin symptoms of overdose change in consciousness confusion about identity, place, and time continuing ringing or buzzing or other unexplained noise in ears decreased awareness or responsiveness deep or fast breathing with dizziness fast, pounding, or irregular heartbeat or pulse hearing loss loss of consciousness numbness of feet, hands, and around mouth severe sleepiness sweating some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: more common acid or sour stomach belching heartburn indigestion stomach discomfort or upset less common bloated, full feeling burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings discouragement dry mucous membranes excess air or gas in stomach or intestines feeling of constant movement of self or surroundings feeling sad or empty increased sensitivity of skin to sunlight irritability lack or loss of strength lightheadedness loss of interest or pleasure mood or mental changes nervousness passing gas seeing, hearing, or feeling things that are not there sensation of spinning severe sunburn sleeplessness swelling or inflammation of the mouth tiredness trouble concentrating trouble sleeping unable to sleep weight loss other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. dolobid side effects",10.0,1.0,"nonsteroidal anti-inflammatory drugs, salicylates"
ec-naprosyn,osteoarthritis,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: more common belching bruising chest tightness difficult or labored breathing feeling of indigestion headache itching skin large, flat, blue, or purplish patches in the skin pain in the chest below the breastbone skin eruptions stomach pain swelling less common bloating bloody or black, tarry stools blurred or loss of vision burning upper stomach pain cloudy urine constipation decrease in urine output or decrease in urine-concentrating ability disturbed color perception double vision fast, irregular, pounding, or racing heartbeat or pulse halos around lights indigestion loss of appetite nausea or vomiting night blindness overbright appearance of lights pale skin pinpoint red or purple spots on the skin severe and continuing nausea severe stomach burning, cramping, or pain skin rash swelling or inflammation of the mouth trouble breathing tunnel vision unusual bleeding or bruising unusual tiredness or weakness vomiting of material that looks like coffee grounds weight loss rare anxiety back or leg pains bleeding gums blindness blistering, peeling, or loosening of the skin blood in the urine or stools blue lips and fingernails canker sores change in the ability to see colors, especially blue or yellow chest pain or discomfort clay-colored stools cold sweats coma confusion cool, pale skin cough or hoarseness coughing that sometimes produces a pink frothy sputum cracks in the skin darkened urine decreased vision depression diarrhea difficult, burning, or painful urination difficult, fast, or noisy breathing difficulty with swallowing dilated neck veins dizziness dry cough dry mouth early appearance of redness, or swelling of the skin excess air or gas in the stomach eye pain fainting fever with or without chills fluid-filled skin blisters flushed, dry skin frequent urination fruit-like breath odor greatly decreased frequency of urination or amount of urine hair loss high fever hives increased hunger increased sensitivity of the skin to sunlight increased sweating increased thirst increased urination increased volume of pale, dilute urine irregular breathing joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs late appearance of rash with or without weeping blisters that become crusted, especially in sun-exposed areas of skin, may extend to unexposed areas light-colored stools lightheadedness loss of heat from the body lower back or side pain nervousness nightmares no blood pressure no breathing no pulse nosebleeds numbness or tingling in the hands, feet, or lips pain in the ankles or knees pain or burning in the throat pain or discomfort in the arms, jaw, back, or neck painful, red lumps under the skin, mostly on the legs pains in the stomach, side, or abdomen, possibly radiating to the back pale or blue lips, fingernails, or skin pounding in the ears puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue rapid, shallow breathing red, irritated eyes red skin lesions, often with a purple center red-green color blindness redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin seizures severe sunburn shakiness skin thinness slurred speech sneezing sore throat sores, ulcers, or white spots on the lips or tongue or inside the mouth sores, welting, or blisters spots on your skin resembling a blister or pimple stiff neck or back stomach cramps or tenderness stomach upset swelling in the legs and ankles swelling of the face, fingers, feet, or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tiny bumps on the inner lining of the eyelid unexplained weight loss unpleasant breath odor watery or bloody diarrhea weakness or heaviness of the legs weight gain yellow eyes or skin symptoms of overdose bleeding under the skin confusion about identity, place, and time muscle tremors restlessness sleepiness some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: more common continuing ringing or buzzing or other unexplained noise in the ears hearing loss less common acid or sour stomach change in hearing feeling of constant movement of self or surroundings passing gas sensation of spinning stomach soreness or discomfort rare appetite changes burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings burning, dry, or itching eyes difficulty with moving discharge, excessive tearing general feeling of discomfort or illness lack or loss of strength menstrual changes muscle aching, cramping, stiffness, or weakness not able to concentrate redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid seeing, hearing, or feeling things that are not there shakiness in the legs, arms, hands, or feet swollen joints trembling or shaking of the hands or feet trouble getting pregnant trouble performing routine tasks trouble sleeping unusual drowsiness, dullness, or feeling of sluggishness other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. ec-naprosyn side effects",unknown,unknown,nonsteroidal anti-inflammatory drugs
feldene,osteoarthritis,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: more common bloating bloody or black, tarry stools burning upper stomach pain cloudy urine constipation decrease in urine output or decrease in urine-concentrating ability headache heartburn indigestion itching skin or rash loss of appetite nausea or vomiting pale skin severe stomach pain, cramping, or burning severe and continuing nausea swelling swelling of the face, fingers, feet, or lower legs trouble breathing unusual bleeding or bruising unusual tiredness or weakness vomiting of blood or material that looks like coffee grounds weight changes less common bleeding gums blood in the urine bloody nose blurred vision burning feeling in the chest or stomach burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings chest pain or tightness clay-colored stools confusion cough or hoarseness dark urine difficult or labored breathing difficult, burning, or painful urination difficulty with swallowing dilated neck veins dizziness fainting fever or chills flushing or redness of the skin frequent urge to urinate increased sensitivity of the skin to sunlight increased thirst increased volume of pale, dilute urine large, flat, blue, or purplish patches in the skin lightheadedness lower back or side pain nervousness noisy breathing numbness or tingling in the hands, feet, or lips pain or burning in the throat peeling of the skin pinpoint red or purple spots on the skin pounding in the ears rapid, shallow breathing redness or other discoloration of the skin redness, swelling, or soreness of the tongue severe sunburn slow, fast, pounding, or irregular heartbeat or pulse sore throat sores, ulcers, or white spots on the lips or tongue or inside the mouth stomach upset swelling or inflammation of the mouth swollen glands tenderness in the stomach area unpleasant breath odor unusually warm skin weakness or heaviness of the legs yellow eyes or skin rare anxiety back or leg pains burning, dry, or itching eyes cold sweats coma cracks in the skin diarrhea discharge or excessive tearing dizziness, faintness, or lightheadedness when getting up from a lying or sitting position dry mouth flushed, dry skin fruit-like breath odor general body swelling general feeling of discomfort or illness high fever increased hunger increased urination inflammation of the joints irregular, fast or slow, or shallow breathing joint pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs light-colored stools loss of heat from the body muscle aches and pains nightmares no blood pressure no breathing no pulse pain or discomfort in the arms, jaw, back, or neck pains in the stomach, side, or abdomen, possibly radiating to the back pale or blue lips, fingernails, or skin puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue red skin lesions, often with a purple center red, irritated eyes redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid runny nose scaly skin seeing, hearing, or feeling things that are not there seizures severe headache shakiness shivering sleepiness slurred speech sneezing sores, welting, or blisters stiff neck or back stomach pain, continuing suddenly sweating swollen, painful, or tender lymph glands in the neck, armpit, or groin trouble sleeping symptoms of overdose agitation depression hives hostility irritability muscle twitching pain or discomfort in the chest, upper stomach, or throat rapid weight gain stupor swelling of the ankles or hands unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: more common acid or sour stomach belching continuing ringing or buzzing or other unexplained noise in the ears excess air or gas in the stomach or intestines hearing loss passing gas stomach discomfort or upset less common feeling of constant movement of self or surroundings hair loss or thinning of the hair lack or loss of strength sensation of spinning shakiness in the legs, arms, hands, or feet trembling or shaking of the hands or feet rare change in hearing changes in appetite inability to sit still mood alterations need to keep moving restlessness other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. feldene side effects",9.0,4.0,nonsteroidal anti-inflammatory drugs
flanax pain reliever,osteoarthritis,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. stop taking flanax and seek medical attention or call your doctor at once if you have any of these serious side effects: chest pain, weakness, shortness of breath, slurred speech, problems with vision or balance; black, bloody, or tarry stools; coughing up blood or vomit that looks like coffee grounds; swelling or rapid weight gain; urinating less than usual or not at all; nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); bruising, severe tingling, numbness, pain, muscle weakness; fever, headache, neck stiffness, chills, increased sensitivity to light, purple spots on the skin, and/or seizure (convulsions) or severe skin reaction -- fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain, followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. less serious flanax side effects may include: upset stomach, mild heartburn or stomach pain, diarrhea, constipation; bloating, gas; dizziness, headache, nervousness; skin itching or rash; blurred vision; or ringing in your ears.",unknown,unknown,nonsteroidal anti-inflammatory drugs
ketoprofen,osteoarthritis,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. ketoprofen may cause serious side effects. stop using ketoprofen and call your doctor at once if you have: shortness of breath (even with mild exertion); swelling or rapid weight gain; nausea, diarrhea , flu-like symptoms (fever, swollen glands, muscle aches, severe weakness); a skin rash, no matter how mild; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. common side effects of ketoprofen may include: heartburn , stomach pain, gas, nausea, vomiting; diarrhea, constipation ; or dizziness .",8.2,5.0,nonsteroidal anti-inflammatory drugs
lofena,osteoarthritis,unknown,unknown,unknown,nonsteroidal anti-inflammatory drugs
oxaprozin,osteoarthritis,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. oxaprozin may cause serious side effects. stop using oxaprozin and call your doctor at once if you have: a skin rash, no matter how mild; heart problems--swelling, rapid weight gain, feeling short of breath; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems-- nausea , upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. common side effects of oxaprozin may include: nausea, upset stomach ; diarrhea , constipation ; or rash.",7.3,4.0,nonsteroidal anti-inflammatory drugs
profinac,osteoarthritis,unknown,unknown,unknown,topical non-steroidal anti-inflammatories
salsalate,osteoarthritis,"swelling in your hands or feet, rapid weight gain; severe headache, blurred vision, pounding in your neck or ears; pale skin, unusual tiredness, cold hands and feet; liver problems-- nausea , stomach pain (upper right side), tiredness, itching, jaundice (yellowing of the skin or eyes); signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; or signs of a stroke--sudden numbness or weakness (especially on one side of the body), severe headache, slurred speech, balance problems. older adults may be more likely to have side effects from salsalate. common side effects of salsalate may include: nausea; hearing problems; a spinning sensation; rash; or abnormal liver function tests .",5.5,2.0,salicylates
schiff move free,osteoarthritis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. although not all side effects are known, schiff move free is thought to be possibly safe when taken for up to 2 years. stop using schiff move free and call your healthcare provider at once if you have: irregular heartbeats; or swelling in your legs. common side effects of schiff move free may include: nausea , diarrhea , constipation ; stomach pain, gas, bloating ; hair loss ; or puffy eyelids.",5.6,9.0,nutraceutical products
sulindac,osteoarthritis,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. sulindac may cause serious side effects. stop using sulindac and call your doctor at once if you have: changes in your vision; shortness of breath (even with mild exertion), swelling, rapid weight gain; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems-- nausea , upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); pancreatitis --severe pain in your upper stomach spreading to your back, nausea and vomiting ; kidney problems--little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; or low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. common side effects of sulindac may include: nausea, vomiting , stomach pain, indigestion , loss of appetite; diarrhea , constipation , gas; headache , dizziness , nervousness ; itching, rash; or ringing in your ears.",5.8,4.0,nonsteroidal anti-inflammatory drugs
xrylix,osteoarthritis,"warning/caution: even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. signs of bleeding like throwing up or coughing up blood ; vomit that looks like coffee grounds; blood in the urine; black, red, or tarry stools; bleeding from the gums; abnormal vaginal bleeding ; bruises without a cause or that get bigger; or bleeding you cannot stop. signs of high blood pressure like very bad headache or dizziness , passing out, or change in eyesight. signs of kidney problems like unable to pass urine, change in how much urine is passed, blood in the urine, or a big weight gain. signs of high potassium levels like a heartbeat that does not feel normal; feeling confused; feeling weak, lightheaded, or dizzy; feeling like passing out; numbness or tingling; or shortness of breath. chest pain or pressure or a fast heartbeat . shortness of breath, a big weight gain, or swelling in the arms or legs. weakness on 1 side of the body, trouble speaking or thinking, change in balance, drooping on one side of the face, or blurred eyesight. feeling very tired or weak. flu-like signs. very bad back pain . very bad belly pain. a very bad skin reaction ( stevens-johnson syndrome / toxic epidermal necrolysis ) may happen. it can cause very bad health problems that may not go away, and sometimes death. get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. liver problems have happened with drugs like this one. sometimes, this has been deadly. call your doctor right away if you have signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. xrylix side effects",unknown,unknown,topical non-steroidal anti-inflammatories
